State,Total Housing Units,Voting Age Citizens,Age < 20,Age 20-65,Age 65+
Alabama,2244462,3671110,1230306,2850542,783832
Alaska,315386,530385,204040,456048,78428
Arizona,2970935,4812764,1824398,3963967,1158320
Arkansas,1362040,2195870,786958,1716177,487536
California,14084824,25232634,10120245,23713058,5315457
Colorado,2352202,3979325,1404562,3385941,740638
Connecticut,1512305,2600979,857306,2136618,587580
Delaware,428251,704108,228494,553872,167129
District of Columbia,311545,511190,143400,459386,81712
Florida,9348689,14724113,4627244,11906519,4064376
Georgia,4241003,7254693,2792291,6152904,1352289
Hawaii,539053,1016556,336843,839231,245955
Idaho,711731,1192742,485158,948850,253801
Illinois,5347268,9055187,3263837,7662757,1894903
Indiana,2870670,4876218,1759907,3881456,996063
Iowa,1386722,2312666,822354,1796833,513312
Kansas,1266378,2077566,796939,1674060,437777
Kentucky,1974406,3338198,1129569,2619126,691509
Louisiana,2045554,3452767,1226349,2760560,676707
Maine,739077,1059542,287563,786074,259176
Maryland,2437740,4262388,1499230,3628868,875337
Massachusetts,2882739,4964686,1588909,4163060,1078224
Michigan,4580939,7472668,2468124,5868420,1620944
Minnesota,2420473,4037295,1433662,3263584,830112
Mississippi,1316108,2228659,809389,1729895,449478
Missouri,2775635,4585994,1543969,3564401,981692
Montana,505685,804263,254030,603879,183823
Nebraska,830749,1358786,525411,1093269,286080
Nevada,1235096,1973652,739121,1745677,438051
New Hampshire,630955,1048201,301343,814295,227984
New Jersey,3605401,6117615,2189857,5315125,1376863
New Mexico,932818,1485490,550298,1200621,341515
New York,8287087,13686685,4656061,11893703,3068689
North Carolina,4573066,7413181,2573530,6011096,1570998
North Dakota,367684,562632,195397,446894,109910
Ohio,5188270,8797915,2929364,6819654,1892861
Oklahoma,1723230,2819168,1063985,2264922,589230
Oregon,1750539,3002261,966207,2433190,682546
Pennsylvania,5673599,9748290,3027573,7533747,2229861
Rhode Island,467412,789062,244443,637958,174210
South Carolina,2256951,3731348,1233413,2893429,829083
South Dakota,387637,635405,236469,491012,136808
Tennessee,2930530,4964909,1668647,3937229,1045213
Texas,10769900,17859496,8071626,16475755,3337814
Utah,1066131,1982911,1008981,1716100,320269
Vermont,333013,494674,139372,372055,113550
Virginia,3491091,6096244,2099921,5083607,1230246
Washington,3064381,5173974,1807233,4413604,1073499
West Virginia,890715,1442035,418768,1065567,344719
Wisconsin,2681232,4347413,1445269,3408430,924695
Wyoming,274985,432284,152624,341435,87777
Puerto Rico,1563159,2653585,781705,1964613,640623